candle_index;timestamp;price;type;direction;confirmed;preview_tick_index;fractal_tick_index;preview_minutes
5;2025-10-24 13:43:00;25376,5;PICO;up;True;393;492;1
8;2025-10-24 13:45:00;25368,25;VALLE;down;True;531;552;1
10;2025-10-24 13:48:00;25374,25;PICO;up;True;683;719;1
12;2025-10-24 13:50:00;25369,0;VALLE;down;True;778;808;1
14;2025-10-24 13:51:00;25377,0;PICO;up;True;809;956;1
15;2025-10-24 13:53:00;25371,25;VALLE;down;True;1038;1098;1
19;2025-10-24 13:55:00;25385,5;PICO;up;True;1184;1235;1
19;2025-10-24 13:56:00;25379,25;VALLE;down;True;1236;1516;1
20;2025-10-24 13:57:00;25386,25;PICO;up;True;1517;1637;1
22;2025-10-24 13:58:00;25373,75;VALLE;down;True;1638;1908;1
22;2025-10-24 13:59:00;25380,75;PICO;up;True;1909;1964;1
23;2025-10-24 14:01:00;25371,5;VALLE;down;True;2034;2148;1
26;2025-10-24 14:02:00;25378,0;PICO;up;True;2149;2237;1
26;2025-10-24 14:03:00;25371,75;VALLE;down;True;2238;2364;1
29;2025-10-24 14:05:00;25383,25;PICO;up;True;2414;2460;1
29;2025-10-24 14:06:00;25376,5;VALLE;down;True;2461;2599;1
31;2025-10-24 14:09:00;25384,25;PICO;up;True;2802;2862;1
35;2025-10-24 14:12:00;25374,75;VALLE;down;True;3008;3114;1
36;2025-10-24 14:14:00;25380,25;PICO;up;True;3244;3350;1
39;2025-10-24 14:15:00;25370,5;VALLE;down;True;3351;3415;1
39;2025-10-24 14:16:00;25375,75;PICO;up;True;3416;3619;1
41;2025-10-24 14:19:00;25367,75;VALLE;down;True;3842;3921;1
43;2025-10-24 14:22:00;25373,25;PICO;up;True;4186;4263;1
49;2025-10-24 14:26:00;25364,25;VALLE;down;True;4666;4784;1
51;2025-10-24 14:27:00;25374,5;PICO;up;True;4785;4916;1
51;2025-10-24 14:28:00;25366,5;VALLE;down;True;4917;5129;1
53;2025-10-24 14:29:00;25379,0;PICO;up;True;5130;5364;1
54;2025-10-24 14:30:00;25344,0;VALLE;down;True;5365;5599;1
55;2025-10-24 14:31:00;25523,25;PICO;up;True;5600;9044;1
55;2025-10-24 14:32:00;25494,25;VALLE;down;True;9045;10915;1
56;2025-10-24 14:33:00;25522,25;PICO;up;True;10916;12480;1
58;2025-10-24 14:34:00;25477,75;VALLE;down;True;12481;14060;1
58;2025-10-24 14:35:00;25504,5;PICO;up;True;14061;15004;1
59;2025-10-24 14:36:00;25472,0;VALLE;down;True;15005;16083;1
61;2025-10-24 14:37:00;25507,0;PICO;up;True;16084;16899;1
62;2025-10-24 14:38:00;25472,5;VALLE;down;True;16900;17845;1
62;2025-10-24 14:39:00;25488,25;PICO;up;True;17846;18570;1
64;2025-10-24 14:40:00;25461,5;VALLE;down;True;18571;19233;1
64;2025-10-24 14:41:00;25483,5;PICO;up;True;19234;20083;1
65;2025-10-24 14:42:00;25453,75;VALLE;down;True;20084;20815;1
67;2025-10-24 14:43:00;25474,0;PICO;up;True;20816;21699;1
68;2025-10-24 14:44:00;25460,0;VALLE;down;True;21699;22107;1
69;2025-10-24 14:45:00;25479,5;PICO;up;True;22108;22681;1
69;2025-10-24 14:46:00;25471,25;VALLE;down;True;22682;23120;1
70;2025-10-24 14:47:00;25487,5;PICO;up;True;23121;23806;1
72;2025-10-24 14:48:00;25467,75;VALLE;down;True;23807;24148;1
73;2025-10-24 14:49:00;25480,25;PICO;up;True;24149;24521;1
73;2025-10-24 14:50:00;25471,25;VALLE;down;True;24522;24899;1
74;2025-10-24 14:51:00;25480,75;PICO;up;True;24900;25197;1
75;2025-10-24 14:52:00;25470,5;VALLE;down;True;25198;25393;1
76;2025-10-24 14:53:00;25482,0;PICO;up;True;25394;25711;1
77;2025-10-24 14:54:00;25454,0;VALLE;down;True;25712;26450;1
79;2025-10-24 14:55:00;25466,5;PICO;up;True;26451;26779;1
80;2025-10-24 14:56:00;25454,25;VALLE;down;True;26780;27081;1
80;2025-10-24 14:57:00;25463,0;PICO;up;True;27082;27297;1
82;2025-10-24 14:58:00;25446,25;VALLE;down;True;27298;27609;1
83;2025-10-24 14:59:00;25458,5;PICO;up;True;27610;28217;1
83;2025-10-24 15:00:00;25451,75;VALLE;down;True;28218;28435;1
85;2025-10-24 15:01:00;25464,0;PICO;up;True;28436;28833;1
85;2025-10-24 15:02:00;25455,0;VALLE;down;True;28834;29124;1
87;2025-10-24 15:03:00;25468,25;PICO;up;True;29125;29484;1
87;2025-10-24 15:04:00;25461,5;VALLE;down;True;29485;29834;1
90;2025-10-24 15:06:00;25473,0;PICO;up;True;30160;30480;1
90;2025-10-24 15:07:00;25467,25;VALLE;down;True;30481;30937;1
94;2025-10-24 15:10:00;25479,0;PICO;up;True;31413;31621;1
96;2025-10-24 15:12:00;25468,5;VALLE;down;True;31930;32022;1
